pair,are_same_entity,confidence,left_norm,right_norm
6,False,0.9,assn of classical christian schools,california charter schools assn
7,False,0.9,league of women voters,maryland league of conservation voters
8,False,0.95,california school boards assn,michigan assn of school boards
9,False,0.9,pinnacle forum,pinnacle pet
10,True,0.95,natl family violence law ctr,natl family violence law ctr at the george washington university law school
1,True,0.9,salesforce,salesforce.com
2,False,0.3,natl council on independent living,resource ctr for independent living
3,False,0.1,american assn of colleges of nursing,american medical women’s assn
4,False,0.2,american public health assn,south asian public health assn
5,False,0.2,inst for policy integrity,public integrity alliance
6,False,0.3,alaska right to life,right to life of michigan
7,False,0.2,tampa bay access force,tampa bay tech
8,False,0.3,california attorneys for criminal justice,defense attorneys
9,False,1.0,american bar assn,washington post
10,False,0.3,california attorneys for criminal justice,maryland criminal defense attorneys’ assn
1,False,0.9,aclu fdn of arizona,aclu fdn of oregon
2,False,0.95,aclu of the district of columbia,district of columbia historians
3,False,0.95,adamas pharmaceuticals,salix pharmaceuticals
4,False,0.9,ctr for immigration studies,ctr for migration studies of new york
5,False,0.9,disability rights advocates,disability rights mississippi
6,False,0.95,louisiana conference of catholic bishops,texas catholic conference of bishops
7,True,0.85,louisiana state conference of the naacp,naacp
8,False,0.9,arkansas assn of chiefs of police,natl assn of chiefs of police
9,False,0.9,disability rights connecticut,disability rights florida
10,False,0.95,natl legal fdn,pacific legal fdn
1,False,0.9,american assn for justice,ctr for law and education
2,False,0.95,colorado community health network,community health network of connecticut
3,False,0.9,justice policy inst,montana policy inst
4,False,0.95,b.e. technology,consumer technology assn
5,False,0.95,inst for indian development,italian assn for women in development
6,False,0.95,kentucky coal assn,kentucky hospital assn
7,True,0.85,natl fed of independent business,natl fed of independent business small business legal ctr
8,False,0.9,columbia union conference of seventh-day adventists,general conference of seventh-day adventists
9,False,0.95,americans against gun violence,nuns against gun violence
10,False,0.9,free law project,women’s law project
1,True,0.9,intl brotherhood of teamsters,intl brotherhood of teamsters (human rights and diversity commission)
2,False,0.7,advocates for children of new york,children’s defense fund-new york
3,False,0.9,league of conservation voters,league of women voters texas
4,False,0.9,maine coalition to end domestic violence,nebraska coalition to end domestic and sexual violence
5,False,0.6,natl small business assn,small business assn
6,False,0.8,internet assn,internet soc
7,False,0.95,league of conservation voters,league of women voters
8,True,0.95,samsung,samsung electronics co.
9,True,0.95,brennan ctr for justice,brennan ctr for justice at n.y.u. school of law
10,False,0.7,legal services for children,pegasus legal services for children
1,False,0.95,new mexico district attorneys assn,new mexico hospital assn
2,False,0.7,family farm action alliance,family fdn action
3,False,0.9,hispanic natl bar assn,natl bar assn
4,False,0.8,jewish pro-life fdn,pro-life legal defense fund
5,False,0.85,north carolina community health ctr assn,north carolina healthcare assn
6,False,0.9,housing alliance of pennsylvania,pennsylvania coal alliance
7,False,0.95,communities unlimited,vapor unlimited
8,False,0.9,natl alliance of state pharmacy assn,natl assn of specialty pharmacy
9,False,0.95,disability rights california,disability rights nebraska
10,False,0.9,american bar assn,asian pacific american bar assn of los angeles county
1,False,0.7,georgia public interest research grp,u.s. public interest research grp education fund
2,False,0.5,enough is enough,team enough
3,False,0.9,mississippi college,mississippi republican party
4,True,0.95,american gi forum,american gi forum-natl veterans outreach program
5,False,0.9,idaho coalition against sexual and domestic violence,nevada coalition to end domestic and sexual violence
6,False,0.8,california assn of realtors,natl assn of realtors®
7,False,0.8,central florida assn of criminal defense lawyers,florida assn for criminal defense lawyers
8,False,0.6,american civil rights project,emory civil rights soc
9,False,0.9,hca healthcare,renal healthcare assn
10,False,0.9,dallas baptist university,maranatha baptist university
1,False,0.9,california assn of realtors,michigan realtors®
2,True,1.0,claremont institutes’ ctr for constitutional jurisprudence,claremont inst’s ctr for constitutional jurisprudence
3,False,0.95,kerrville church of christ,united church of christ
4,False,1.0,healthcare assn of new york state,new york state sheriffs’ assn
5,False,0.95,aclu of georgia,aclu of texas
6,False,0.9,anti-defamation league of b’nai b’rith,b’nai b’rith intl
7,False,0.9,natl council of churches,rhode island state council of churches
8,False,1.0,north carolina farm bureau,north dakota family alliance
9,False,0.9,strive asset management,trillium asset management
10,False,0.9,americans for immigrant justice,immigrant justice idaho
1,False,0.9,open net assn,texas.net
2,False,0.95,aclu of northern california,assn of california water agencies
3,False,0.9,illinois coal assn,illinois policy
4,False,0.85,planned parenthood action fund,planned parenthood empire state acts
5,False,0.9,constitution party,constitution party natl comm
6,False,0.9,homeless advocacy project,texas advocacy project
7,False,0.9,children’s ctr,justice defense fund
8,False,0.95,alaska right to life,right to immigration inst
9,False,0.95,american assn of university women of florida,university of florida board of trustees
10,False,0.9,children’s rights,southern ctr for human rights
1,False,0.9,energy equipment and infrastructure alliance,internet infrastructure coalition
2,False,0.8,new york council of defense lawyers,new york state assn of criminal defense lawyers
3,False,0.6,ctr for justice and freedom,freedom ctr fdn
4,False,0.9,aasa the school superintendents assn,maine school superintendents assn
5,False,0.9,central city assn,central city hospitality house
6,False,1.0,natl right to life comm,natl right to work comm
7,True,1.0,"natl assn of parents (d/b/a ""parentsusa"")",natl assn of parents. dba parentsusa
8,False,0.9,alliance for educational justice,her justice
9,False,0.7,atlanta legal aid soc,legal aid soc
10,False,1.0,mississippi college,republican party of arizona
1,False,0.7,building industry assn of the greater valley,california building industry assn
2,False,0.8,criminal defense attorneys,vermont assn of criminal defense attorneys
3,False,0.9,maciver inst for public policy,virginia inst for public policy
4,False,0.95,illinois right to life,wisconsin right to life
5,True,1.0,american jewish comm,american jewish congress
6,False,0.6,ctr for reproductive rights,ctr on reproductive rights and justice
7,True,0.9,presiding bishop and president of the house of deputies of the episcopal church,presiding bishop of the episcopal church
8,False,0.95,american trucking assn,oklahoma trucking assn
9,False,0.7,in the public interest,new jersey appleseed public interest law ctr
10,False,0.95,american muslim bar assn,asian american bar assn of new york
1,False,0.9,jewish pro-life fdn,natl pro-life alliance
2,False,0.95,american assn of christian schools,wisconsin assn of christian schools
3,False,0.95,colorado psychological assn,north carolina psychological assn
4,False,0.7,criminal justice legal fdn,justice fdn
5,False,0.8,housing justice ctr,housing rights comm of sf
6,False,0.95,asian american legal defense and education fund,naacp
7,False,0.9,atlantic union conference of seventh-day adventists,columbia union conference of seventh-day adventists
8,True,0.95,everytown for gun safety,everytown for gun safety support fund
9,False,0.9,johnson and johnson,robert wood johnson fdn
10,False,0.9,aclu fdn of louisiana,louisiana family fdn
1,False,0.9,islam and religious freedom action team of the religious freedom inst,natl comm for amish religious freedom
2,False,0.95,california assn of realtors,new york assn of realtors®
3,False,0.9,assn of california water agencies,assn of metropolitan water agencies
4,False,0.95,ctr for constitutional responsibility,ctr for constitutional rights
5,False,0.95,aclu of puerto rico,washington assn of criminal defense lawyers
6,True,1.0,catholic legal immigration network,catholic legal immigration network.
7,False,0.95,austin inst for the study of family and culture,soc for the study of psychiatry and culture
8,False,0.95,federal public defender district of hawai’i,federal public defender for the district of arizona
9,False,0.85,alameda alliance for health,alameda health consortium
10,True,0.95,islam and religious freedom action team,islam and religious freedom action team religious freedom inst
1,False,1.0,bar assn of the district of columbia,maine assn of criminal defense lawyers
2,False,0.9,maine coalition to end domestic violence,tennessee coalition to end domestic and sexual violence
3,False,1.0,american bar assn,lgbt bar of new york
4,False,0.9,california policy ctr,ctr for alcohol policy
5,False,0.95,independent women’s law ctr,natl women’s law ctr
6,False,1.0,american assn of university women-michigan chapter,eastern michigan university
7,False,0.8,medical professionals,medical staff professionals
8,False,0.7,office of the ohio public defender,public defender assn
9,False,1.0,midwest access coalition,midwest vape coalition
10,False,1.0,protect our care,protect our defenders
1,False,0.7,asian pacific american bar assn of pennsylvania,natl asian pacific american bar assn
2,False,0.9,assn of criminal defense lawyers of new jersey,florida assn of criminal defense lawyers
3,False,0.9,assn of minnesota counties,michigan assn of counties
4,False,0.9,michigan realtors®,minnesota realtors®
5,False,0.95,american assn of university women,union university
6,False,0.9,bader family fdn,louisiana family fdn
7,False,0.8,lgbt bar assn of new york,natl lgbt bar assn
8,False,0.85,montana-northern wyoming conference united church of christ,united church of christ
9,False,0.8,citizens equal rights alliance,u.s. citizens for equal protection
10,False,0.95,inventors network kentucky,kentucky health justice network
1,True,0.95,assembly of canonical orthodox bishops of the united states of america,assembly of canonical orthodox bishops of the usa
2,False,0.8,alliance san diego,south asian bar assn of san diego
3,False,0.7,ctr for family and human rights,ctr for the human rights of children
4,False,0.7,generation justice,generation vote
5,False,0.75,central florida assn of criminal defense lawyers,florida assn for criminal defense lawyers-miami chapter
6,False,0.9,california catholic conference,wisconsin catholic conference
7,False,0.85,arkansas assn of chiefs of police,natl police assn
8,True,0.95,catholicvote,catholicvote.org
9,False,0.7,employers ass’n,employers grp
10,False,0.8,legal aid chicago,legal aid soc
1,False,0.9,american trucking assn,utah trucking assn
2,False,0.9,california assn of realtors,texas realtors®
3,False,0.95,freedom from religion fdn,religious freedom inst
4,False,0.85,faith and freedom coalition,wagner faith and freedom ctr
5,False,0.95,california news publishers assn,new york news publishers assn
6,False,0.9,american civil rights project,civil rights corps
7,False,0.85,access reproductive justice,natl latina inst for reproductive justice
8,False,0.95,chicago coalition for the homeless,tennessee valley coalition for the homeless
9,False,0.9,stand u.p.,stand with us
10,False,0.9,american tax policy inst,tax freedom inst
1,False,0.3,government accountability project,justice and corporate accountability project
2,False,0.4,children’s ctr,ctr for the human rights of children
3,False,0.2,aclu of north carolina,north carolina community health ctr assn
4,False,0.1,american assn of university women,anderson university
5,False,0.3,central pacific conference of the united church of christ,penn west conference of the united church of christ
6,False,0.5,chicago lawyers’ comm for civil rights,lawyers’ comm for civil rights under law
7,False,0.4,fond du lac band of lake superior chippewa,lac du flambeau band of lake superior chippewa indians
8,False,0.3,boise metro chamber of commerce,u.s. chamber of commerce fdn
9,False,0.3,freedom fdn,justice and freedom fund
10,False,0.1,california public defenders assn,mississippi college
1,False,0.9,aclu of the district of columbia,american civil liberties union of illinois
2,False,0.8,fair housing advocates assn,housing alliance de
3,False,0.85,asian pacific american labor alliance,natl council of asian pacific americans
4,False,0.9,american benefits council,catholic benefits assn
5,False,0.9,ctr for justice and freedom,minnesota freedom fund
6,False,0.85,american intellectual property law assn,inst for intellectual property and social justice
7,False,0.9,illinois pork producers assn,state pork producer assn of minnesota
8,False,0.9,american jewish congress,world jewish congress
9,True,0.95,ujima.: the natl ctr on violence against women in the black community,ujima: natl ctr on violence against women in the black community
10,False,0.9,american vaping manufacturers assn,texas assn of manufacturers
1,False,0.3,alabama criminal defense lawyers assn,criminal defense attorneys
2,False,0.4,children’s ctr,ctr for children’s advocacy
3,False,0.2,argent,argentum
4,False,0.3,california change lawyers,california women lawyers
5,False,0.5,colorado criminal defense bar,ohio assn of criminal defense lawyers
6,False,0.3,access housing. district of columbia,district of columbia affairs community of the district of columbia bar
7,False,0.1,assn of catholic colleges and universities,minnesota state colleges and universities
8,False,0.4,law enforcement alliance of america,law enforcement officers
9,False,0.6,naral pro-choice north carolina,naral pro-choice oregon
10,True,0.9,natl fed for the blind,natl fed of the blind-california
1,False,0.9,arizona chamber of commerce and industry,longview chamber of commerce
2,False,0.9,aclu of pennsylvania,housing alliance of pennsylvania
3,False,0.8,california dui lawyers assn,california lawyers assn
4,True,1.0,aclu of the district of columbia,american civil liberties union of the district of columbia
5,False,1.0,aclu of mississippi,mississippi republican party
6,False,1.0,jewish war veterans of the united states of america,veterans of foreign wars of the united states
7,False,0.7,american right to life,natl right to life comm
8,False,1.0,arizona coalition to end sexual and domestic violence,south carolina coalition against domestic violence and sexual assault
9,False,1.0,arizona state university,ohio state university
10,False,1.0,federal defender for the district of arizona,federal public defender northern district of california
1,False,0.9,hispanic leadership fund,natl apostolic christian leadership conference
2,False,0.9,arkansas assn of chiefs of police,virginia assn of chiefs of police and fdn
3,False,0.7,environmental advocates,environmental org
4,False,0.95,assn of the bar of the city of new york,legal aid soc of the city of new york
5,False,0.8,digital chamber,digital justice fdn
6,False,0.85,north carolina community health ctr assn,north carolina justice ctr
7,False,0.8,massachusetts public interest research grp,u.s. public interest research grp
8,False,0.95,american assn of christian schools,assn of american law schools
9,False,0.95,d.c. assn of criminal defense lawyers,oklahoma criminal defense lawyers assn
10,False,0.95,vermont assn of criminal defense attorneys,vermont states attorneys assn
1,False,0.9,asian american legal defense and education fund,women’s equal rights legal defense and education fund
2,False,0.6,institutional religious freedom alliance,religious freedom inst
3,False,0.7,maine heritage policy ctr,maine policy inst
4,False,0.8,alj capital management,highland capital management l.p.
5,False,1.0,california trucking assn,nevada mining assn
6,False,1.0,california trucking assn,west virginia coal assn
7,False,0.9,american free enterprise chamber of commerce,u.s. women’s chamber of commerce
8,False,0.7,alliance for justice,lone star justice alliance
9,False,0.8,american ctr for law and justice,natl ctr for law and economic justice
10,False,0.6,independent health plan,independent inst
1,False,0.9,federal defender for the district of arizona,oregon federal public defender’s office
2,False,0.95,everytown for gun safety,gun owners of california
3,True,0.85,catholic vote,catholicvote.org educational fund
4,False,0.9,american assn of public health physicians,american public health assn
5,False,0.95,american assn of university professors,american indian law professors
6,False,0.9,american assn on health and disability,assn on higher education and disability
7,False,0.9,government finance officers assn,native american finance officers assn
8,False,0.95,aclu of puerto rico,illinois assn of criminal defense lawyers
9,False,0.85,assn for government accountability,natl police accountability project
10,False,0.9,california county gun owners,owners counsel of america
1,False,0.8,informed consent action network,physicians for informed consent
2,False,0.9,catholic conferences of minnesota,tennessee catholic conference
3,False,0.95,central pacific conference of the united church of christ,penn northeast conference of the united church of christ
4,False,0.95,federal defender for the district of arizona,federal public defender for the district of nevada
5,True,0.9,catholic health assn,catholic health assn of the united states
6,True,0.9,bayer,bayer us
7,False,0.9,ctr for medicine in the public interest,ctr for science in the public interest
8,True,0.95,capital area immigrants’ rights coalition,capital area immigrant’s rights coalition
9,False,0.95,aclu fdn of arizona,louisiana family fdn
10,False,0.95,colorado psychological assn,new york state vapor assn
1,False,0.9,assn of southern california defense counsel,intl assn of defense counsel
2,False,0.9,business roundtable,naples roundtable
3,False,0.95,arizona chamber of commerce and industry,kansas chamber of commerce
4,False,0.95,eliot unitarian universalist chapel,unitarian universalist women’s fed
5,False,0.95,mt innocence project,new england innocence project
6,False,0.85,ctr for public justice,public justice
7,False,0.95,american hotel and lodging assn,ohio hotel and lodging assn
8,False,0.95,colorado criminal defense bar,d.c. assn of criminal defense lawyers
9,False,0.95,natl alliance for public charter schools,washington state charter schools assn
10,False,0.9,alliance for educational justice,inst for justice
1,False,0.9,d.c. assn of criminal defense lawyers,georgia assn of criminal defense lawyers
2,False,0.8,americas health insurance plans,medicaid health plans of america
3,False,0.7,federal law enforcement officers assn,law enforcement alliance of america
4,True,0.95,aerospace industries assn,aerospace industries assn of america
5,False,0.9,b.e. technology,illinois inst of technology
6,False,0.95,federal public defender district of guam,federal public defender for the district of nevada
7,False,0.95,protect our aquifer,protect our gun rights
8,False,0.7,alliance of u.s. startups and inventors for jobs,inventors for jobs
9,False,0.95,aclu of pennsylvania,aclu of texas
10,False,0.8,alliance for automotive innovation,assn for american innovation
1,False,0.9,housing works,internet works
2,False,0.7,hispanic leadership fund,leadership inst
3,True,0.95,global justice inst metropolitan community churches,metropolitan community churches global justice inst
4,False,0.8,military / veterans coalition of indiana,military women’s coalition
5,False,0.95,alaska right to life,new hampshire right to life
6,False,0.7,city of hope,community hope
7,False,0.9,aclu fdn of arizona,aclu of texas
8,False,0.8,concordia university-st. paul,st. paul’s ctr
9,False,0.95,assn of alaska housing authorities,california assn of housing authorities
10,False,0.95,district attorneys’ assn of georgia,massachusetts district attorneys assn
1,False,0.7,first amendment clinics,knight first amendment inst
2,True,0.9,natl action network,natl action network washington bureau
3,False,0.8,american civil liberties union fdn,american civil liberties union of georgia
4,False,0.9,american assn of public health physicians,american health care assn
5,False,1.0,colorado state university,ohio state university
6,False,0.9,american assn for justice,los angeles ctr for law and justice
7,False,0.9,disability rights california,disability rights ohio
8,False,0.9,aclu of mississippi,mississippi public defenders assn
9,False,0.9,assn of criminal defense lawyers of new jersey,new jersey assn of women lawyers
10,False,0.8,california employment lawyers assn,natl employment lawyers assn
1,False,0.95,dallas county public defender’s office,federal public defender of oregon
2,False,0.6,2556 operation outcry women injured by abortion,women hurt by abortion
3,False,0.95,district attorneys assn of the state of new york,healthcare assn of new york state
4,False,0.9,hope fair housing ctr,new hope family services
5,False,0.95,housing alliance of pennsylvania,university of pennsylvania
6,False,0.9,independent council on women’s sport,independent inst
7,False,0.95,apa watch,judicial watch
8,False,0.95,district attorneys assn of the state of new york,medical soc of the state of new york
9,False,0.9,american free enterprise chamber of commerce,south carolina chamber of commerce
10,False,0.95,aclu of new jersey,aclu of new mexico
1,False,0.9,business council of new york state,ohio council of churches
2,False,0.7,american muslim bar assn,capital area muslim bar assn
3,False,0.9,mississippi college,mississippi justice inst
4,False,0.6,85 religious org,religious inst
5,False,0.6,aldea-the peoples justice ctr,people’s justice council
6,False,0.8,american health care assn,natl assn of community health ctr
7,False,0.7,atlantic ctr for capital representation,ctr for public representation
8,False,0.9,arizona chamber of commerce and industry,kentucky chamber of commerce
9,False,0.8,florida wildlife fed,natl wildlife fed
10,False,0.7,advocates for faith and freedom,faith and freedom coalition
1,False,0.9,american college of tax counsel,american college of trust and estate counsel
2,False,0.8,american free enterprise chamber of commerce,united states chamber of commerce
3,False,0.95,central florida assn of criminal defense lawyers,pennsylvania assn of criminal defense lawyers
4,False,0.7,defense of freedom inst,freedom fund
5,False,0.7,faith and freedom fdn,freedom ctr fdn
6,True,0.95,gun owners action league (massachusetts),gun owners’ action league massachusetts
7,False,0.85,sexual violence law ctr,sexual violence prevention assn
8,False,0.9,american public health assn,catholic health assn
9,False,0.95,animal welfare league of arlington,child welfare league of america
10,False,0.85,american mining rights assn,arizona mining assn
1,False,0.9,disability rights california,disability rights louisiana
2,False,0.6,exoneration initiative,exoneration project
3,False,0.95,california state sheriffs’ assn,virginia sheriffs assn
4,False,0.95,apa watch,human rights watch
5,True,0.99,intel,intel corporation
6,False,0.95,american trucking assn,minnesota 8
7,False,0.9,assn of california cities-orange county,county of orange
8,False,0.9,california rural legal assistance fdn,rural community assistance corporation
9,False,0.85,equality california,equality fed
10,False,0.85,ctr for global justice,equal justice ctr
1,False,0.7,access reproductive justice,spark reproductive justice now!
2,True,0.95,asian pacific american gun owners assn,asian pacific american gun owners assoc.
3,True,0.9,montana innocence project,mt innocence project
4,False,0.6,ctr for constitutional rights,ctr for human rights and constitutional law
5,False,0.8,american right to life,new jersey right to life
6,False,0.95,american hospital assn,maine education assn
7,True,0.9,armed forces and chaplaincy for the anglican church in north america,jurisdiction of the armed forces and chaplaincy of the anglican church in north america
8,False,0.85,california constitutional rights fdn,california gun rights fdn
9,False,0.9,american ctr for law and justice,ctr for consumer law and education
10,False,0.7,leadership inst,united states hispanic leadership inst
1,False,0.8,colorado republican comm,republican state leadership comm
2,True,0.95,ethics and religious liberty commission,ethics and religious liberty commission of the southern baptist conference
3,False,0.7,housing alliance de,safe housing alliance
4,False,0.9,illinois sheriffs’ assn,natl sheriffs’ assn
5,False,0.9,central alabama fair housing ctr,fair housing ctr of central indiana
6,False,0.95,south carolina hospital assn,south carolina vapor assn
7,True,0.95,apartment assn of los angeles county,apartment assn of los angeles county. dba apartment assn of greater los angeles
8,False,0.85,everytown for gun safety,gun owners for safety
9,False,0.95,missouri republican party,republican party of arizona
10,False,0.95,atlanta legal aid soc,legal aid soc of the city of new york
1,False,0.9,california state sheriffs assn,virginia sheriffs assn
2,False,0.95,illinois family inst,illinois inst of technology
3,False,1.0,american bar assn,natl asian pacific american womens forum
4,False,0.9,california chamber of commerce,kansas chamber of commerce
5,False,0.85,ctr for environmental accountability,ctr for justice and accountability
6,False,0.9,indiana wesleyan university,wesleyan university
7,False,0.8,children’s ctr,children’s defense fund
8,False,0.9,assn of arkansas counties,natl assn of counties
9,False,0.85,cardinal inst for west virginia policy,west virginia family policy council
10,False,0.85,justice for migrant women,migrant justice
1,True,0.95,qualcomm,qualcomm incorporated
2,False,0.7,family fdn,family fdn of virginia
3,False,0.8,ctr for medicine in the public interest,public interest legal fdn
4,False,0.9,georgia public policy fdn,texas public policy fdn
5,False,0.85,california employment law council,natl employment law project
6,False,0.8,natl fed of independent business small business legal ctr,natl small business assn
7,False,0.9,american hospital assn,georgia hospital assn
8,False,0.85,ctr for environmental accountability,environmental defense fund
9,False,0.75,children’s ctr,louisiana ctr for children’s rights
10,False,0.8,american property owners alliance,hollywood property owners alliance
1,False,0.9,illinois coalition against sexual assault,iowa coalition against sexual assault
2,True,0.95,communication first,communicationfirst
3,False,0.9,internet accountability project,internet commerce assn
4,False,0.85,cardinal inst for west virginia policy,family policy of west virginia
5,False,0.9,freedom leadership conference,natl hispanic christian leadership conference
6,False,0.85,eagle forum fdn,tennessee eagle forum
7,True,0.9,chinese american alliance,chinese american citizens alliance-greater new york
8,False,0.9,ctr for children’s law and policy,ctr for the study of social policy
9,False,0.95,new civil liberties alliance,new york civil liberties union
10,False,0.95,asian american legal defense and education fund,eagle forum
1,False,0.7,american free enterprise chamber of commerce,u.s. chamber of commerce
2,False,0.8,colorado psychological assn,natl latinx psychological assn
3,True,0.9,manhattan inst,manhattan inst for policy research
4,False,0.9,natl education assn,natl rural education assn
5,False,0.7,central atlantic conference of the united church of christ,general synod of the united church of christ
6,False,0.8,nebraska family action,nebraska family alliance
7,False,0.95,new mexico hospital assn,new mexico trucking assn
8,False,0.7,shalom ctr,shalom mennonite fellowship
9,False,0.95,asian american bar assn of new york,healthcare assn of new york state
10,False,0.85,atlantic union conference of seventh-day adventists,general conference of the seventh-day adventist church
1,False,0.95,illinois sheriffs’ assn,minnesota sheriffs’ assn
2,False,0.7,disability rights florida,disability rights legal ctr
3,False,0.9,aclu of pennsylvania,housing equality ctr of pennsylvania
4,False,0.95,california chamber of commerce,kentucky chamber of commerce
5,False,0.85,assn of independent music publishers,independent book publishers assn
6,False,0.8,california immigrant policy ctr,california policy ctr
7,False,0.75,ctr for consumer law and education,ctr for law and education
8,False,0.95,asian american bar assn of new york,medical soc of the state of new york
9,False,0.9,asian american community services,legal services for children
10,False,0.85,florence immigrant and refugee rights project,florence immigrant and refugee rights project lawyers for civil rights
1,False,0.9,american bar assn,dallas fort worth muslim bar assn
2,False,0.9,hudson inst,hudson pride ctr
3,True,0.95,league of women voters,league of women voters california
4,True,0.9,eagle forum,eagle forum of california
5,False,0.85,louisiana conference of catholic bishops,u.s. conference of catholic bishops
6,False,0.8,amica ctr for immigrant rights,young ctr for immigrant childrens rights
7,True,0.95,natl health law program,natl heath law program
8,True,0.95,asian pacific islander domestic violence resource project,asian/pacific islander domestic violence resource project
9,False,0.9,district attorneys’ assn of georgia,louisiana district attorneys assn
10,False,0.9,alliance san diego,san diego county gun owners
1,False,0.9,homeless advocacy project,western regional advocacy project
2,False,0.9,agricultural retailers assn,california retail assn
3,False,0.8,anglican church in north america,armed forces and chaplaincy for the anglican church in north america
4,False,0.95,american assn of pro-life obstetricians and gynecologists,intl fed of gynecology and obstetrics
5,False,0.95,illinois health and hospital assn,michigan health and hospital assn
6,False,0.99,aclu of puerto rico,idaho assn of criminal defense lawyers
7,False,0.85,small property owners of san francisco inst,small property owners-ny
8,False,0.85,becket fund for religious liberty,chaplain alliance for religious liberty
9,False,0.9,american civil liberties union fdn of northern california,american civil liberties union of michigan
10,False,0.9,american assn for justice,american citizens for justice
1,False,0.9,georgia coalition against domestic violence,pennsylvania coalition against domestic violence
2,False,0.9,arizona attorneys for criminal justice,nevada attorneys for criminal justice
3,False,0.95,american bar assn,natl creditors bar assn
4,False,0.95,independent bakers assn,independent bankers assn of texas
5,False,0.95,alliance of automobile manufacturers,european automobile manufacturers’ assn
6,False,0.95,conservative legal defense and education fund,women’s legal defense and education fund
7,False,0.95,n.c. automobile dealers ass’n,natl automobile dealers assn
8,False,0.85,songwriters guild of america,songwriters of north america
9,False,0.8,ctr for justice and accountability,justice and corporate accountability project
10,False,0.95,american hospital assn,nebraska hospital assn
1,False,0.7,homeless advocacy project,rhode island homeless advocacy project
2,False,0.8,u.s. public interest research grp,washington state public interest research grp
3,False,1.0,aclu of puerto rico,montana assn of criminal defense lawyers
4,False,0.9,free speech coalition,princetonians for free speech
5,False,1.0,illinois sheriffs’ assn,indiana sheriffs’ assn
6,False,0.6,veterans,veterans legal services
7,False,0.9,dc coalition against domestic violence,idaho coalition against sexual and domestic violence
8,False,1.0,california farm bureau,virginia farm bureau
9,False,0.7,impact fund,texas impact
10,False,0.8,power2parent union,power2parents
1,False,0.9,southeastern legal fdn,southeastern university
2,False,0.95,american bar assn,natl lgbt bar assn
3,False,0.95,connecticut criminal defense attorneys assn,maryland states attorneys assn
4,False,0.9,digestive health physicians assn,ibis reproductive health
5,False,0.95,alabama republican party,republican party of arizona
6,False,0.85,advocates for human rights,ctr for human rights and constitutional law
7,False,0.95,california state sheriffs assn,new york state bar assn
8,False,0.9,aerospace industries assn,aerospace medical assn
9,False,0.9,central atlantic conference of the united church of christ,robbinsdale parkway united church of christ
10,False,0.95,georgia coalition against domestic violence,utah domestic violence coalition
1,False,0.9,central florida assn of criminal defense lawyers,d.c. assn of criminal defense lawyers
2,True,0.95,new york county defender service,new york county defender services
3,False,1.0,c-span,cameroon advocacy network
4,False,0.85,aclu of mississippi,mississippi justice inst
5,False,1.0,loyola university of chicago,university of chicago
6,False,0.8,advocates for human rights,human rights defense ctr
7,False,1.0,assn of washington business,southern california rental housing assn
8,False,0.9,assn of prosecuting attorneys,idaho prosecuting attorneys assn
9,False,0.7,arizona ctr for empowerment,fund for empowerment
10,False,0.85,homeless alliance,natl alliance to end homelessness
1,False,0.9,natl ctr on domestic and sexual violence,virginia sexual and domestic violence action alliance
2,False,0.95,kentucky captive assn,kentucky trucking assn
3,False,0.9,dignity alliance massachusetts,massachusetts rivers alliance
4,False,0.95,california school boards assn,north carolina school boards assn
5,True,0.85,members of michigan fair elections inst,michigan fair elections
6,False,0.9,california women’s law ctr,independence law ctr
7,False,0.95,apartment assn of los angeles county,los angeles county police chiefs’ assn
8,False,0.95,asian american legal defense and education fund,mexican american legal defense and educational fund
9,False,0.95,american vaping manufacturers assn,general aviation manufacturers assn
10,False,0.95,league of women voters california,league of women voters of south carolina
1,False,0.9,mississippi college,mississippi ctr for investigative reporting
2,False,0.95,justice policy inst,maine policy inst
3,False,0.9,inst for free speech,james madison inst
4,False,0.95,alaska trucking assn,california trucking assn
5,False,0.9,apartment assn of greater los angeles,greater los angeles communities alliance
6,False,0.95,constitution party natl comm,green party of the united states
7,False,0.95,animal activist legal defense project,pro-life legal defense fund
8,True,0.85,apartment assn of greater los angeles,apartment assn of los angeles county
9,False,0.95,action for life,reason fdn
10,False,0.95,brennan ctr for justice at nyu school of law,tax law ctr at nyu law
1,False,0.9,federal public defender district of hawai’i,federal public defender for the district of guam
2,False,0.8,new mexico public interest research grp fund,u.s. public interest research grp
3,True,0.95,united farm workers fdn,united farm workers of america
4,False,1.0,10 members of the united states senate,members of the texas senate
5,False,1.0,american bar assn,asian pacific american gun owners assn
6,False,0.95,michigan realtors®,texas realtors®
7,False,0.95,asian american legal defense and education fund,transgender legal defense and education fund
8,False,0.9,fond du lac band of lake superior chippewa,lac vieux desert band of lake superior chippewa indians
9,False,0.9,dc project,volunteer lawyers project of cny
10,False,1.0,boston college,boston university
1,False,0.7,american civil liberties union of texas,civil liberties defense ctr
2,False,0.9,asian american legal defense and education fund,connecticut women’s education and legal fund
3,False,0.8,alabama ctr for law and liberty,liberty justice ctr
4,False,0.9,claremont institutes’ ctr for constitutional jurisprudence,ctr for constitutional rights
5,False,0.9,hca healthcare,renal physicians assn
6,False,0.8,american trucking assn,virginia trucking assn
7,False,0.9,current and former california local elected officials,current and former elected officials of the u.s. virgin islands
